design_id,description,ingestion_path_id,evidence_source_type,trace_schema_version_planned,privacy_redaction,raw_content_columns,manifest_generation,file_hashing,provenance_attestation,privacy_attestation,threshold_scenario_mapping,hybrid_counterfactual,programmable_accelerator_counterfactual,measured_energy_plan,measured_latency_plan,utilization_measurement,fallback_audit_update_accounting,health_drift_gates,policy_window_consistency,production_or_shadow_or_canary_source,scaled_synthetic_only,vendor_or_proxy_only,single_path_only
shadow_dual_run_full_instrumentation,Shadow production dual-run with complete trace schema package manifest attestations measured energy latency utilization and counterfactual baselines,shadow_production_dual_run,shadow_production,1,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false
canary_ab_full_instrumentation,Canary AB dual-instrumented collection with full measured hybrid and programmable accelerator paths,canary_ab_dual_instrumented,canary_production,1,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false
sampled_logs_no_counterfactual,Sampled production logs with route timing but no same-workload programmable accelerator counterfactual,sampled_production_logs_without_baselines,production,1,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false
vendor_benchmark_plus_local_proxy,Vendor accelerator benchmark combined with local proxy hybrid timings rather than same-workload trace collection,accelerator_vendor_benchmark_only,local_proxy,1,true,false,true,true,true,true,true,false,true,false,true,false,false,false,true,false,false,true,false
shadow_dual_run_missing_energy,Shadow dual-run design with all structure present but energy instrumentation not yet available,shadow_production_dual_run,shadow_production,1,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false
canary_ab_privacy_risk_raw_content,Canary design that proposes retaining raw content columns for later debugging,canary_ab_dual_instrumented,canary_production,1,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false
single_path_production_fast_path_only,Production fast-path-only logging without parallel programmable baseline or dual-run counterfactual,sampled_production_logs_without_baselines,production,1,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true
synthetic_replay_scaled_volume,Synthetic scaled replay that estimates production volume from fixtures rather than measured production shadow or canary traffic,synthetic_fixture_only,synthetic,1,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,false,false
shadow_dual_run_unknown_threshold_mapping,Shadow dual-run design with measured paths but no known reopen-threshold scenario selected before launch,shadow_production_dual_run,shadow_production,1,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false
canary_ab_missing_provenance_attestation,Canary AB design whose collector cannot produce provenance attestation for package replay,canary_ab_dual_instrumented,canary_production,1,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false
