case_id,target_class,regime,request_volume_per_day,update_interval_days,utilization,fallback_rate,integration_control_overhead,software_runtime_savings,programmable_accelerator_efficiency,physicalized_per_request_savings,fixed_substrate_cost,expected_label
safety_filter__calibrated,safety_filter,calibrated,8000000,90,0.62,0.14,8000,0.42,0.34,0.06,42000,best_programmable_baseline
safety_filter__favorable_plausible,safety_filter,favorable_plausible,24000000,180.0,0.84,0.05,4400.0,0.28,0.4,0.55,29399.999999999996,physicalized_plausible_win
safety_filter__extreme_counterfactual,safety_filter,extreme_counterfactual,90000000,720.0,0.96,0.0,1600.0,0.1,0.6,0.82,8400.0,counterfactual_not_current_evidence
embedding_lookup_or_static_table__calibrated,embedding_lookup_or_static_table,calibrated,8000000,120,0.62,0.14,11000,0.42,0.34,0.04,62000,best_programmable_baseline
embedding_lookup_or_static_table__favorable_plausible,embedding_lookup_or_static_table,favorable_plausible,24000000,240.0,0.84,0.05,6050.000000000001,0.28,0.4,0.5,43400.0,physicalized_plausible_win
embedding_lookup_or_static_table__extreme_counterfactual,embedding_lookup_or_static_table,extreme_counterfactual,90000000,960.0,0.96,0.0,2200.0,0.1,0.6,0.84,12400.0,counterfactual_not_current_evidence
fixed_feature_extractor__calibrated,fixed_feature_extractor,calibrated,8000000,90,0.62,0.14,10000,0.42,0.34,0.05,55000,best_programmable_baseline
fixed_feature_extractor__favorable_plausible,fixed_feature_extractor,favorable_plausible,24000000,180.0,0.84,0.05,5500.0,0.28,0.4,0.52,38500.0,physicalized_plausible_win
fixed_feature_extractor__extreme_counterfactual,fixed_feature_extractor,extreme_counterfactual,90000000,720.0,0.96,0.0,2000.0,0.1,0.6,0.86,11000.0,counterfactual_not_current_evidence
small_keyword_or_policy_classifier__calibrated,small_keyword_or_policy_classifier,calibrated,8000000,180,0.62,0.14,6000,0.42,0.34,0.08,28000,best_programmable_baseline
small_keyword_or_policy_classifier__favorable_plausible,small_keyword_or_policy_classifier,favorable_plausible,24000000,360.0,0.84,0.05,3300.0000000000005,0.28,0.4,0.58,19600.0,physicalized_plausible_win
small_keyword_or_policy_classifier__extreme_counterfactual,small_keyword_or_policy_classifier,extreme_counterfactual,90000000,1440.0,0.96,0.0,1200.0,0.1,0.6,0.86,5600.0,counterfactual_not_current_evidence
decoder_dense_weights__calibrated,decoder_dense_weights,calibrated,4000000,14,0.42,0.22,42000,0.42,0.34,0.04,240000,best_programmable_baseline
decoder_dense_weights__favorable_plausible,decoder_dense_weights,favorable_plausible,12000000,30.0,0.68,0.12,23100.000000000004,0.28,0.4,0.09,168000.0,best_programmable_baseline
decoder_dense_weights__extreme_counterfactual,decoder_dense_weights,extreme_counterfactual,70000000,365.0,0.96,0.0,8400.0,0.1,0.6,0.88,48000.0,counterfactual_not_current_evidence
attention_kv_or_dynamic_context__calibrated,attention_kv_or_dynamic_context,calibrated,4000000,1,0.42,0.22,36000,0.42,0.34,0.03,170000,high_update_blocked
attention_kv_or_dynamic_context__favorable_plausible,attention_kv_or_dynamic_context,favorable_plausible,12000000,30.0,0.68,0.12,19800.0,0.28,0.4,0.07,118999.99999999999,best_programmable_baseline
attention_kv_or_dynamic_context__extreme_counterfactual,attention_kv_or_dynamic_context,extreme_counterfactual,70000000,365.0,0.96,0.0,7200.0,0.1,0.6,0.74,34000.0,counterfactual_not_current_evidence
tenant_adapter_or_lora__calibrated,tenant_adapter_or_lora,calibrated,4000000,7,0.42,0.22,22000,0.42,0.34,0.04,88000,best_programmable_baseline
tenant_adapter_or_lora__favorable_plausible,tenant_adapter_or_lora,favorable_plausible,12000000,30.0,0.68,0.12,12100.000000000002,0.28,0.4,0.08,61599.99999999999,best_programmable_baseline
tenant_adapter_or_lora__extreme_counterfactual,tenant_adapter_or_lora,extreme_counterfactual,70000000,365.0,0.96,0.0,4400.0,0.1,0.6,0.8,17600.0,counterfactual_not_current_evidence
training_optimizer_state__calibrated,training_optimizer_state,calibrated,4000000,0.1,0.42,0.22,50000,0.42,0.34,0.02,210000,high_update_blocked
training_optimizer_state__favorable_plausible,training_optimizer_state,favorable_plausible,12000000,30.0,0.68,0.12,27500.000000000004,0.28,0.4,0.04,147000.0,best_programmable_baseline
training_optimizer_state__extreme_counterfactual,training_optimizer_state,extreme_counterfactual,70000000,365.0,0.96,0.0,10000.0,0.1,0.6,0.6,42000.0,counterfactual_not_current_evidence
zero_volume_control,small_keyword_or_policy_classifier,special_control,0,365,0.9,0.0,1000,0.1,0.6,0.9,1000,zero_volume_blocked
all_fallback_control,fixed_feature_extractor,special_control,20000000,365,0.9,1.0,1000,0.1,0.6,0.9,1000,all_fallback_blocked
high_update_target_control,tenant_adapter_or_lora,special_control,40000000,1,0.9,0.02,2000,0.1,0.6,0.9,5000,high_update_blocked
high_software_savings_control,embedding_lookup_or_static_table,special_control,40000000,365,0.9,0.02,100000,0.72,0.35,0.0,200000,best_programmable_baseline
