risk_id,risk,missing_measurement_or_field,affected_architecture_option,why_it_matters,current_status,next_experiment
R-001,semantic-cache correctness/invalidation,DC-004,B/C,Can erase Option B value for RAG-like workloads.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting DC-004.
R-002,production trajectory reuse,DC-005,B/C,Decides whether Option C is a real production architecture or synthetic artifact.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting DC-005.
R-003,provenance-validation overhead,DC-006,B/C,Can reverse both B and C even when reuse exists.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting DC-006.
R-004,durable object-store latency tails,DC-003,B/C,Can make checkpoint/replay/pointer paths too slow.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting DC-003.
R-005,tenant/cache salt instrumentation,M-SEC-1 required new trace fields,B/C,Unsafe cross-tenant reuse cannot be distinguished without it.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting M-SEC-1 required new trace fields.
R-006,replay authorization,M-SEC-1 required new trace fields,B/C,Trajectory replay value is invalid without actor/scope authorization.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting M-SEC-1 required new trace fields.
R-007,verifier evidence hash,M-SEC-1 required new trace fields,B/C,Verifier state can be tampered with unless evidence is bound to replay.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting M-SEC-1 required new trace fields.
R-008,retention hold state,M-SEC-1 required new trace fields,B/C,Durable deletion/audit conflicts can invalidate retained state.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting M-SEC-1 required new trace fields.
R-009,queue hot-path overhead,M-QUEUE-1 reversal thresholds,B/C,"Registry, policy, migration, DAG, verifier, and preemption queues can dominate value.",deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting M-QUEUE-1 reversal thresholds.
R-010,compression safety/recovery,M-COMP-1 safety failures,B/C,Lossy summaries can corrupt correctness-sensitive replay without exact recovery.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting M-COMP-1 safety failures.
R-011,CXL contention latency,DC-002,A/B/C,Capability-level CXL evidence is not enough for warm-tier placement decisions.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting DC-002.
R-012,per-tier energy per byte,DC-001,A/B/C,Energy/economics claims remain speculative without telemetry.,deferred_or_synthetic,See synthesis_research_agenda.csv for experiments targeting DC-001.
