trace_id,workload_class,time_step,event_type,object_id,object_class,validation_gate_ids,validation_decision,failed_gate_ids,raw_reuse_credit,validation_overhead,safe_reuse_credit,unsafe_positive_credit,evidence_label
trace-v2-single-turn_chat_control,single-turn chat control,8,object_access,single-turn_chat_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-single-turn_chat_control,single-turn chat control,8,object_access,single-turn_chat_control:KV_cache:1,KV cache,tenant_isolation; cache_salt_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-single-turn_chat_control,single-turn chat control,13,object_access,single-turn_chat_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-single-turn_chat_control,single-turn chat control,18,object_access,single-turn_chat_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-single-turn_chat_control,single-turn chat control,18,object_access,single-turn_chat_control:prefix_cache:1,prefix cache,source_freshness; tenant_isolation; cache_salt_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-single-turn_chat_control,single-turn chat control,18,object_access,single-turn_chat_control:KV_cache:1,KV cache,tenant_isolation; cache_salt_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-single-turn_chat_control,single-turn chat control,23,object_access,single-turn_chat_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,8,object_access,batch_summarization_offline_inference_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,8,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,tenant_isolation; cache_salt_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,13,object_access,batch_summarization_offline_inference_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,18,object_access,batch_summarization_offline_inference_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,18,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,tenant_isolation; cache_salt_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,23,object_access,batch_summarization_offline_inference_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,28,object_access,batch_summarization_offline_inference_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,28,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,tenant_isolation; cache_salt_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,33,object_access,batch_summarization_offline_inference_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,38,object_access,batch_summarization_offline_inference_control:weights:1,weights,tenant_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-batch_summarization_offline_inference_control,batch summarization/offline inference control,38,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,tenant_isolation; cache_salt_isolation,not_reuse_candidate,,0.0,0.0,0.0,false,synthetic_enforcement
trace-v2-rag,RAG,8,object_access,rag:weights:1,weights,tenant_isolation,safe_reuse,,3.18,0.136,3.044,false,synthetic_enforcement
trace-v2-rag,RAG,8,object_access,rag:KV_cache:1,KV cache,tenant_isolation; cache_salt_isolation,overhead_dominated_reuse,,0.186667,0.1464,0.0,false,synthetic_enforcement
trace-v2-rag,RAG,13,object_access,rag:weights:1,weights,tenant_isolation,safe_reuse,,3.15,0.126,3.024,false,synthetic_enforcement
trace-v2-rag,RAG,18,object_access,rag:weights:1,weights,tenant_isolation,safe_reuse,,3.15,0.156,2.994,false,synthetic_enforcement
trace-v2-rag,RAG,18,object_access,rag:prefix_cache:1,prefix cache,source_freshness; tenant_isolation; cache_salt_isolation,safe_reuse,,5.444444,0.1148,5.329644,false,synthetic_enforcement
trace-v2-rag,RAG,18,object_access,rag:KV_cache:1,KV cache,tenant_isolation; cache_salt_isolation,safe_reuse,,0.366667,0.1064,0.260267,false,synthetic_enforcement
trace-v2-rag,RAG,18,object_access,rag:semantic_cache_entry:1,semantic cache entry,provenance_presence; source_freshness; tenant_isolation; cache_salt_isolation,denied_reuse,provenance_presence,3.92,0.1529,0.0,false,synthetic_enforcement
trace-v2-rag,RAG,18,object_access,rag:retrieved_context:1,retrieved context,provenance_presence; source_freshness; pointer_recoverability,denied_reuse,provenance_presence; pointer_recoverability,3.951111,0.1951,0.0,false,synthetic_enforcement
trace-v2-rag,RAG,23,object_access,rag:weights:1,weights,tenant_isolation,safe_reuse,,3.15,0.106,3.044,false,synthetic_enforcement
trace-v2-rag,RAG,28,object_access,rag:weights:1,weights,tenant_isolation,safe_reuse,,3.15,0.146,3.004,false,synthetic_enforcement
trace-v2-rag,RAG,28,object_access,rag:KV_cache:1,KV cache,tenant_isolation; cache_salt_isolation,safe_reuse,,0.366667,0.1564,0.210267,false,synthetic_enforcement
trace-v2-rag,RAG,31,workspace_write,rag:tool_output:3,tool output,provenance_presence; trajectory_lineage; replay_authorization; pointer_recoverability,safe_reuse,,2.457778,0.2034,2.254378,false,synthetic_enforcement
trace-v2-rag,RAG,33,object_access,rag:weights:1,weights,tenant_isolation,safe_reuse,,3.15,0.126,3.024,false,synthetic_enforcement
trace-v2-rag,RAG,33,object_access,rag:prefix_cache:1,prefix cache,source_freshness; tenant_isolation; cache_salt_isolation,safe_reuse,,5.444444,0.1548,5.289644,false,synthetic_enforcement
trace-v2-rag,RAG,33,object_access,rag:semantic_cache_entry:1,semantic cache entry,provenance_presence; source_freshness; tenant_isolation; cache_salt_isolation,denied_reuse,provenance_presence,5.6,0.1829,0.0,false,synthetic_enforcement
