hook,owner,affected_plan_rows,blocked_reuse_actions,downgrade_count,lost_net_plan_value,constraint_binding,failure_if_missing,evidence_label
object_registry,runtime,80,28,28,165.251495,missing_hook:object_registry,placement collapses to aggregate request/model heuristics,synthetic_planning
lifetime_boundary,runtime+compiler,49,20,20,1.839456,missing_hook:lifetime_boundary,state is evicted before reuse or retained after value expires,synthetic_planning
reuse_probability_estimator,runtime,4,2,2,14.880566,missing_hook:reuse_probability_estimator,reuse-aware tiering cannot distinguish hot objects from dead state,synthetic_planning
retention_value_estimator,runtime,0,0,0,0,missing_hook:retention_value_estimator,eviction policy optimizes bytes instead of retained value,synthetic_planning
correctness_sensitive_pin,runtime+storage,55,12,12,1.839456,missing_hook:correctness_sensitive_pin,scheduler treats correctness loss as latency-only recomputation,synthetic_planning
durability_horizon,runtime+storage,26,1,1,0.0,missing_hook:durability_horizon,"workspace artifacts are archived, evicted, or summarized before downstream use",synthetic_planning
branch_state_annotation,compiler+runtime,10,4,4,0.0,missing_hook:branch_state_annotation,branch-local state is either overpinned or lost before merge,synthetic_planning
verifier_retention_barrier,compiler+runtime,39,10,10,0.900978,missing_hook:verifier_retention_barrier,counterexamples and test evidence are recomputed or omitted from final audit,synthetic_planning
trajectory_graph_edge,runtime+storage,52,19,19,0.0,missing_hook:trajectory_graph_edge,object-local policy misses cross-object dependencies,synthetic_planning
tier_placement_hint,runtime,0,0,0,0,missing_hook:tier_placement_hint,objects move through tiers without exposing value/cost tradeoff,synthetic_planning
compression_boundary,compiler+runtime,17,1,1,0.938478,missing_hook:compression_boundary,summaries lose required provenance or raw state remains too expensive,synthetic_planning
provenance_pointer,storage+runtime,3,1,1,0.938478,missing_hook:provenance_pointer,"cache hits become stale, unverifiable, or semantically wrong",synthetic_planning
