gate_order,gate_name,check_order,operator_action,check
1,root_enrollment,1,produce_artifact,"Generate the gate-specific evidence file from the named source, not from manifest booleans."
1,root_enrollment,2,compute_digest,Compute sha256 over artifact bytes and copy only the digest into the manifest.
1,root_enrollment,3,bind_identity,"Verify bundle, measurement, collector, topology, workload/model, claim, and operator IDs match upstream evidence."
1,root_enrollment,4,bind_time_window,Verify artifact validity covers the measurement window and is not stale at replay time.
1,root_enrollment,5,bind_dependency,Record upstream artifact digest links before downstream gates are marked pass.
1,root_enrollment,6,preserve_boundary,"Treat evidence_artifact_complete as replay input readiness only; do not mark production_calibrated, production_ready, or claim_credit_allowed."
2,attestation_envelope,1,produce_artifact,"Generate the gate-specific evidence file from the named source, not from manifest booleans."
2,attestation_envelope,2,compute_digest,Compute sha256 over artifact bytes and copy only the digest into the manifest.
2,attestation_envelope,3,bind_identity,"Verify bundle, measurement, collector, topology, workload/model, claim, and operator IDs match upstream evidence."
2,attestation_envelope,4,bind_time_window,Verify artifact validity covers the measurement window and is not stale at replay time.
2,attestation_envelope,5,bind_dependency,Record upstream artifact digest links before downstream gates are marked pass.
2,attestation_envelope,6,preserve_boundary,"Treat evidence_artifact_complete as replay input readiness only; do not mark production_calibrated, production_ready, or claim_credit_allowed."
3,trust_policy,1,produce_artifact,"Generate the gate-specific evidence file from the named source, not from manifest booleans."
3,trust_policy,2,compute_digest,Compute sha256 over artifact bytes and copy only the digest into the manifest.
3,trust_policy,3,bind_identity,"Verify bundle, measurement, collector, topology, workload/model, claim, and operator IDs match upstream evidence."
3,trust_policy,4,bind_time_window,Verify artifact validity covers the measurement window and is not stale at replay time.
3,trust_policy,5,bind_dependency,Record upstream artifact digest links before downstream gates are marked pass.
3,trust_policy,6,preserve_boundary,"Treat evidence_artifact_complete as replay input readiness only; do not mark production_calibrated, production_ready, or claim_credit_allowed."
4,intake_custody,1,produce_artifact,"Generate the gate-specific evidence file from the named source, not from manifest booleans."
4,intake_custody,2,compute_digest,Compute sha256 over artifact bytes and copy only the digest into the manifest.
4,intake_custody,3,bind_identity,"Verify bundle, measurement, collector, topology, workload/model, claim, and operator IDs match upstream evidence."
4,intake_custody,4,bind_time_window,Verify artifact validity covers the measurement window and is not stale at replay time.
4,intake_custody,5,bind_dependency,Record upstream artifact digest links before downstream gates are marked pass.
4,intake_custody,6,preserve_boundary,"Treat evidence_artifact_complete as replay input readiness only; do not mark production_calibrated, production_ready, or claim_credit_allowed."
5,adapter_conformance,1,produce_artifact,"Generate the gate-specific evidence file from the named source, not from manifest booleans."
5,adapter_conformance,2,compute_digest,Compute sha256 over artifact bytes and copy only the digest into the manifest.
5,adapter_conformance,3,bind_identity,"Verify bundle, measurement, collector, topology, workload/model, claim, and operator IDs match upstream evidence."
5,adapter_conformance,4,bind_time_window,Verify artifact validity covers the measurement window and is not stale at replay time.
5,adapter_conformance,5,bind_dependency,Record upstream artifact digest links before downstream gates are marked pass.
5,adapter_conformance,6,preserve_boundary,"Treat evidence_artifact_complete as replay input readiness only; do not mark production_calibrated, production_ready, or claim_credit_allowed."
6,timebase_integrity,1,produce_artifact,"Generate the gate-specific evidence file from the named source, not from manifest booleans."
