case_id,case_type,deployment_root_id,operator_id,collector_id,collector_firmware_identity,topology_id,schema_version,measurement_run_id,bundle_id,evidence_label,enrollment_admissible,blocked_field,blocked_reason,expected_blocked_reason,expected_reason_matched,production_target_granted,production_calibrated,production_ready,claim_credit_allowed,pre_gatechain_only
valid-complete-fixture-enrollment,valid_fixture,deployment-root-fixture-001,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,topology-fixture-001,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,deployment_root_enrollment_fixture,true,,,,true,false,false,false,false,true
invalid-unknown-root,invalid_fixture,unknown-root-999,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,topology-fixture-001,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,deployment_root_enrollment_fixture,false,deployment_root_id,unknown_deployment_root,unknown_deployment_root,true,false,false,false,false,true
invalid-unknown-key,invalid_fixture,deployment-root-fixture-001,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,topology-fixture-001,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,deployment_root_enrollment_fixture,false,key_id,unknown_key_id,unknown_key_id,true,false,false,false,false,true
invalid-missing-firmware-identity,invalid_fixture,deployment-root-fixture-001,operator-secops-fixture,collector-fixture-001,,topology-fixture-001,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,deployment_root_enrollment_fixture,false,collector_firmware_identity,missing_collector_firmware_identity,missing_collector_firmware_identity,true,false,false,false,false,true
invalid-stale-firmware-attestation,invalid_fixture,deployment-root-fixture-001,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,topology-fixture-001,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,deployment_root_enrollment_fixture,false,firmware_attested_at,stale_firmware_attestation,stale_firmware_attestation,true,false,false,false,false,true
invalid-duplicate-collector-different-operator,invalid_fixture,deployment-root-fixture-001,operator-other-fixture,collector-fixture-001,collector-fw-fixture-digest-001,topology-fixture-001,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,deployment_root_enrollment_fixture,false,collector_id,duplicate_collector_id_different_operator,duplicate_collector_id_different_operator,true,false,false,false,false,true
invalid-key-rotation-gap,invalid_fixture,deployment-root-fixture-001,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,topology-fixture-001,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,deployment_root_enrollment_fixture,false,key_rotation_epoch,key_rotation_gap,key_rotation_gap,true,false,false,false,false,true
invalid-stale-enrollment-window,invalid_fixture,deployment-root-fixture-001,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,topology-fixture-001,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,deployment_root_enrollment_fixture,false,root_valid_until,stale_enrollment_window,stale_enrollment_window,true,false,false,false,false,true
invalid-topology-id-mismatch,invalid_fixture,deployment-root-fixture-001,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,topology-other-fixture,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,deployment_root_enrollment_fixture,false,topology_id,topology_id_mismatch,topology_id_mismatch,true,false,false,false,false,true
invalid-topology-drift,invalid_fixture,deployment-root-fixture-001,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,topology-fixture-001,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,deployment_root_enrollment_fixture,false,topology_version,topology_drift,topology_drift,true,false,false,false,false,true
