mechanism,kernel_role,sign_source,evaluation_point,denominator_regime,required_input,classification,A_offset,sigma,D,Lambda0_power,beta_formula,paper_native,pointwise_at_x_1_over_n,denominator_safe,requires_absolute_kernel_stratum,uses_toy_or_free_group_proxy,claims_proved_exponent_improvement,claims_local_statistics,claims_variance_law,claims_shrinking_window_theorem,theorem_template,decision,reason
markov_baseline,global reciprocal-integer interpolation of x^2 p(x),none,x=1/n,paper_safe,Kim--Tao Markov brothers step,paper_proved_baseline,0.0,0.0,0.0,20,beta=(2*kappa-A)*eta+sigma-D,True,True,True,False,False,False,False,False,False,not a kernel SPC theorem,baseline,Existing bound has Lambda0^20 and zero direct saving.
kernel_closure_admissibility,defines the admissible folded quotients W_r in Lemma 3.3,none from kernel closure itself,x=1/n,paper_safe,new argument turning admissibility into evaluated sign information,underdetermined_surface_input,0.75,0.1,0.0,20,beta=(2*kappa-A)*eta+sigma-D,True,True,True,False,False,False,False,False,False,SPC_kernel only after an additional sign theorem,not_theorem_ready,"Kernel closure is paper-native, but Lemma 3.3 uses it to define/factor quotient targets, not to pair opposite signs."
kernel_class_signed_pairing,partition W_r by relation-kernel closure class,hypothetical signs of Q_r(1/n) across relation-compatible classes,x=1/n,paper_safe,sign-reversing or orthogonality theorem for evaluated Q_r(1/n),surface_theorem_target,1.25,0.35,0.0,20,beta=(2*kappa-A)*eta+sigma-D,True,True,True,False,False,False,False,False,False,"SPC_kernel(A,sigma) for relation-kernel classes",conditional_next_attempt,"This is the only non-vacuous kernel SPC template, but the required sign theorem is external to current Lemma 3.3."
relation_word_orientation_pairing,pair quotient classes by orientation/opposite traversal of the surface relation,possible orientation sign in evaluated quotient polynomials,x=1/n,paper_safe,orientation-reversal identity changing Q_r(1/n) sign while preserving weights,underdetermined_surface_input,1.0,0.2,0.0,20,beta=(2*kappa-A)*eta+sigma-D,True,True,True,False,False,False,False,False,False,SPC_kernel orientation-pairing lemma,not_theorem_ready,The paper's folded-quotient construction does not expose an orientation sign; it only requires kernel paths to close.
quotient_polynomial_sign_grouping,"group by evaluated Q_{gamma1,gamma2}(1/n) sign inside kernel-compatible quotient profiles",Q_i(1/n) signs,x=1/n,paper_safe,evaluated polynomial sign distribution theorem for relation-compatible W_r,surface_theorem_target,1.0,0.3,0.0,20,beta=(2*kappa-A)*eta+sigma-D,True,True,True,False,False,False,False,False,False,SPC_kernel via evaluated quotient-polynomial signs,conditional_next_attempt,"This is genuinely pointwise if proved at x=1/n, but current inputs do not supply the sign distribution."
transform_weight_only_sign,kernel strata inherit no sign except external transform factors,(h o f_Lambda0)^vee(k ell_gamma) signs,x=1/n,paper_safe,length-shell transform-phase cancellation after quotient factors are controlled,underdetermined_surface_input,0.75,0.25,0.0,20,beta=(2*kappa-A)*eta+sigma-D,True,True,True,False,False,False,False,False,False,belongs to length-shell transform-phase branch,pivot_to_length_phase_if_pursued,"If signs come only from transform values, this is not a relation-kernel mechanism."
absolute_kernel_stratum_control,control total mass inside fixed relation-kernel strata,none after absolute values,x=1/n,paper_safe,sum_i |w_i Q_i(1/n)| or coefficient total variation per kernel stratum,coefficient_variation_equivalent,2.0,0.0,0.0,20,beta=(2*kappa-A)*eta+sigma-D,True,True,True,True,False,False,False,False,False,"coefficient/signed-variation theorem, not SPC_kernel",pivot_to_coefficient_signed_variation,"Absolute control may be valuable, but it is no longer signed pointwise cancellation."
x0_kernel_coefficient_cancellation,formal coefficient cancellation near t=0 in kernel-compatible classes,coefficient signs at x=0,x=0,paper_safe_only_after_value_transfer,neighborhood/value argument transferring x=0 control to x=1/n,range_blocked,1.5,0.0,0.0,20,beta=(2*kappa-A)*eta+sigma-D,True,False,True,False,False,False,False,False,False,wrong-point unless upgraded to value control,blocked_wrong_point,"The target is Q_i(1/n)/Q_id(1/n), so x=0 coefficient cancellation alone is vacuous."
denominator_loss_kernel_grouping,kernel grouping outside the paper-safe Q_id(1/n) regime,Q_i(1/n) signs possibly amplified by 1/Q_id(1/n),x=1/n,near_zero_or_off_range,|Q_id(1/n)|^{-1} <= n^D with D paid in beta,denominator_blocked,1.25,0.35,1.0,20,beta=(2*kappa-A)*eta+sigma-D,True,True,False,False,False,False,False,False,False,SPC_kernel only if denominator loss is explicitly paid,blocked_by_denominator_loss,Any numerator saving is reduced by D; near zeros erase the direct route.
toy_free_group_kernel_proxy,replace the surface kernel by a free-group or Schreier proxy,toy pairing signs,not_the_surface_ratio,no_Q_id_surface_denominator,actual Lemma 3.3 surface relation and denominator normalization,toy_only,1.0,0.2,0.0,20,beta=(2*kappa-A)*eta+sigma-D,False,False,False,False,True,False,False,False,False,not theorem evidence for Kim--Tao surface numerator,do_not_use_as_evidence,"Free-group/Schreier proxies omit the surface relation, MPvH/Nau inputs, and Q_id normalization."
