theorem_path,scenario,kappa,epsilon,q_loss_power_b,current_q_loss_power,intermediate_alpha0,theorem_alpha,current_theorem_alpha,improvement_factor,dominant_remaining_axis,notes
theorem1_rigidity,current_trace_markov,3,0.05,6,6,0.00383141762452,0.00255427841635,0.00255427841635,1,smooth cutoff derivative budget and Weyl-edge 2/3 conversion,"Trace path uses alpha_R=(2/3)*min(alpha0,1/9); reducing q-loss helps until other axes dominate."
theorem1_rigidity,half_trace_markov_power,3,0.05,3,6,0.00472813238771,0.00315208825847,0.00255427841635,1.23404255319,smooth cutoff derivative budget and Weyl-edge 2/3 conversion,"Trace path uses alpha_R=(2/3)*min(alpha0,1/9); reducing q-loss helps until other axes dominate."
theorem1_rigidity,fixed_q2_trace_loss,3,0.05,2,6,0.00512820512821,0.0034188034188,0.00255427841635,1.33846153846,smooth cutoff derivative budget and Weyl-edge 2/3 conversion,"Trace path uses alpha_R=(2/3)*min(alpha0,1/9); reducing q-loss helps until other axes dominate."
theorem1_rigidity,bounded_trace_loss,3,0.05,0,6,0.00617283950617,0.00411522633745,0.00255427841635,1.61111111111,smooth cutoff derivative budget and Weyl-edge 2/3 conversion,"Trace path uses alpha_R=(2/3)*min(alpha0,1/9); reducing q-loss helps until other axes dominate."
theorem2_delocalization,current_pretrace_markov,3,0.05,12,12,0.00367647058824,0.00183823529412,0.00183823529412,1,eighth-power cutoff derivative budget plus local mass to Linf conversion,Pre-trace path uses alpha=alpha0/2 with alpha0=1/(16*(b/2+11)).
theorem2_delocalization,half_pretrace_markov_power,3,0.05,6,12,0.00446428571429,0.00223214285714,0.00183823529412,1.21428571429,eighth-power cutoff derivative budget plus local mass to Linf conversion,Pre-trace path uses alpha=alpha0/2 with alpha0=1/(16*(b/2+11)).
theorem2_delocalization,fixed_q4_pretrace_loss,3,0.05,4,12,0.00480769230769,0.00240384615385,0.00183823529412,1.30769230769,eighth-power cutoff derivative budget plus local mass to Linf conversion,Pre-trace path uses alpha=alpha0/2 with alpha0=1/(16*(b/2+11)).
theorem2_delocalization,bounded_pretrace_loss,3,0.05,0,12,0.00568181818182,0.00284090909091,0.00183823529412,1.54545454545,eighth-power cutoff derivative budget plus local mass to Linf conversion,Pre-trace path uses alpha=alpha0/2 with alpha0=1/(16*(b/2+11)).
theorem1_rigidity,current_trace_markov,3,0.1,6,6,0.00709219858156,0.00472813238771,0.00472813238771,1,smooth cutoff derivative budget and Weyl-edge 2/3 conversion,"Trace path uses alpha_R=(2/3)*min(alpha0,1/9); reducing q-loss helps until other axes dominate."
theorem1_rigidity,half_trace_markov_power,3,0.1,3,6,0.00888888888889,0.00592592592593,0.00472813238771,1.25333333333,smooth cutoff derivative budget and Weyl-edge 2/3 conversion,"Trace path uses alpha_R=(2/3)*min(alpha0,1/9); reducing q-loss helps until other axes dominate."
